id,session_num,Clip Time mentioned (h:mm:ss),Cumulative Time mentioned (h:mm:ss),Atlascine-location,Location,Scale
59,,0:58:26,0:58:26,Burundi,Burundi,country
60,,0:58:27,0:58:27,Burundi,Burundi,country
61,,0:58:30,0:58:30,Rwanda,Rwanda,country
62,,0:58:38,0:58:38,Rwanda,Rwanda,country
63,,0:58:44,0:58:44,Rwanda,Rwanda,country
64,,0:58:47,0:58:47,"Butare, Rwanda",Butare; Rwanda,city / area
65,,0:59:03,0:59:03,Rwanda,Rwanda,country
66,,0:59:41,0:59:41,Burundi,Burundi,country
67,,0:59:47,0:59:47,Burundi,Burundi,country
68,,1:01:04,1:01:04,Iceland,Iceland,country
69,,1:01:05,1:01:05,France,France,country
70,,1:01:10,1:01:10,France,France,country
71,,1:01:11,1:01:11,Italy,Italy,country
72,,1:11:52,1:11:52,"Bujumbura, Burundi",Bujumbura; Burundi,city / area
73,,1:11:54,1:11:54,"Cibitoke, Burundi",Cibitoke; Burundi,city / area
74,,1:11:55,1:11:55,"Rugombo, Burundi",Rugombo; Burundi,city / area
75,,1:13:24,1:13:24,Burundi,Burundi,country
76,,1:13:56,1:13:56,Burundi,Burundi,country
77,,1:14:07,1:14:07,"Quebec, Canada",Quebec; Canada,region
78,,1:14:40,1:14:40,"Montreal, Canada",Montreal; Canada,city / area
79,,1:15:54,1:15:54,"Montreal, Canada",Montreal; Canada,city / area
80,,1:15:05,1:15:05,"Montreal, Canada",Montreal; Canada,city / area
81,,1:15:52,1:15:52,Canada,Canada,country
82,,1:16:54,1:16:54,Rwanda,Rwanda,country
83,,1:17:04,1:17:04,Burundi,Burundi,country
84,,1:17:10,1:17:10,"l'Institut Supérieur de Contrôle de Gestion, Bujumbura, Burundi",l'Institut Supérieur de Contrôle de Gestion; Bujumbura; Burundi,very local
85,,1:21:22,1:21:22,Africa,Africa,continent
86,,1:24:55,1:24:55,Canada,Canada,country
87,,1:25:00,1:25:00,Rwanda,Rwanda,country
88,,1:25:46,1:25:46,Africa,Africa,continent
89,,1:25:50,1:25:50,"Montreal, Canada",Montreal; Canada,city / area
90,,1:27:55,1:27:55,Canada,Canada,country
91,,1:27:56,1:27:56,Africa,Africa,continent
92,,1:28:00,1:28:00,Africa,Africa,continent
93,,1:28:31,1:28:31,Burundi,Burundi,country
94,,1:29:56,1:29:56,Burundi,Burundi,country
95,,1:33:24,1:33:24,"Bujumbura, Burundi",Bujumbura; Burundi,city / area
96,,1:33:56,1:33:56,Canada,Canada,country
97,,1:34:26,1:34:26,Africa,Africa,continent
98,,1:34:28,1:34:28,Rwanda,Rwanda,country
99,,1:34:29,1:34:29,Africa,Africa,continent
100,,1:35:10,1:35:10,Canada,Canada,country
101,,1:36:00,1:36:00,"Montreal, Canada",Montreal; Canada,city / area
102,,1:36:17,1:36:17,"Quebec, Canada",Quebec; Canada,region
103,,1:36:20,1:36:20,"Quebec, Canada",Quebec; Canada,region
104,,1:36:52,1:36:52,Canada,Canada,country
105,,1:41:49,1:41:49,"Quebec, Canada",Quebec; Canada,region
106,,1:41:50,1:41:50,Canada,Canada,country
107,,1:42:17,1:42:17,"Notre-Dame-de-Grâce, Montreal, Canada",Notre-Dame-de-Grâce; Montreal; Canada,local
108,,1:48:33,1:48:33,"Berri-UQAM metro, Montreal, Canada",Berri-UQAM metro; Montreal; Canada,very local
109,,1:48:35,1:48:35,"Berri-UQAM metro, Montreal, Canada",Berri-UQAM metro; Montreal; Canada,very local
110,,1:48:42,1:48:42,"Sainte Catherine Street, Montreal, Canada",Sainte Catherine Street; Montreal; Canada,very local
111,,1:48:46,1:48:46,"Jacques Cartier bridge, Montreal, Canada",Jacques Cartier bridge; Montreal; Canada,very local
112,,1:49:33,1:49:33,Africa,Africa,continent
113,,1:52:36,1:52:36,"Sainte Catherine Street, Montreal, Canada",Sainte Catherine Street; Montreal; Canada,very local
114,,1:53:14,1:53:14,"Gay Village, Montreal, Canada",Gay Village; Montreal; Canada,local
115,,1:53:43,1:53:43,"Quebec, Canada",Quebec; Canada,region
116,,1:53:48,1:53:48,"Quebec, Canada",Quebec; Canada,region
117,,1:54:30,1:54:30,Africa,Africa,continent
118,,1:57:53,1:57:53,"Montreal, Canada",Montreal; Canada,city / area
119,,1:59:15,1:59:15,Rwanda,Rwanda,country
120,,1:59:39,1:59:39,Rwanda,Rwanda,country
121,,0:01:53,2:02:03,"Montreal, Canada",Montreal; Canada,city / area
122,,0:02:41,2:02:51,Rwanda,Rwanda,country
123,,0:07:45,2:07:55,Rwanda,Rwanda,country
124,,0:07:58,2:08:08,Burundi,Burundi,country
125,,0:08:06,2:08:16,Burundi,Burundi,country
126,,0:16:10,2:16:20,Rwanda,Rwanda,country
127,,0:16:56,2:17:06,Rwanda,Rwanda,country
128,,0:17:02,2:17:12,Rwanda,Rwanda,country
129,,0:17:08,2:17:18,Rwanda,Rwanda,country
130,,0:17:53,2:18:03,Rwanda,Rwanda,country
131,,0:18:09,2:18:19,Burundi,Burundi,country
132,,0:20:06,2:20:16,Rwanda,Rwanda,country
133,,0:20:08,2:20:18,Rwanda,Rwanda,country
134,,0:20:09,2:20:19,Bosnia,Bosnia,country
135,,0:20:14,2:20:24,France,France,country
136,,0:20:36,2:20:46,Rwanda,Rwanda,country
137,,0:21:20,2:21:30,"New York City, USA",New York City; USA,city / area
138,,0:21:26,2:21:36,Rwanda,Rwanda,country
139,,0:21:30,2:21:40,Rwanda,Rwanda,country
140,,0:21:31,2:21:41,Rwanda,Rwanda,country
141,,0:22:33,2:22:43,"Montreal, Canada",Montreal; Canada,city / area
142,,0:22:53,2:23:03,Canada,Canada,country
143,,0:23:03,2:23:13,"Montreal, Canada",Montreal; Canada,city / area
144,,0:25:39,2:25:49,"Sainte Catherine Street, Montreal, Canada",Sainte Catherine Street; Montreal; Canada,very local
145,,0:30:30,2:30:40,West Africa,West Africa,continent
146,,0:31:18,2:31:28,Rwanda,Rwanda,country
147,,0:31:19,2:31:29,Rwanda,Rwanda,country
148,,0:31:24,2:31:34,Rwanda,Rwanda,country
149,,0:31:30,2:31:40,Rwanda,Rwanda,country
150,,0:31:34,2:31:44,Rwanda,Rwanda,country
151,,0:31:40,2:31:50,Rwanda,Rwanda,country
152,,0:32:00,2:32:10,Rwanda,Rwanda,country
153,,0:32:36,2:32:46,Rwanda,Rwanda,country
154,,0:32:45,2:32:55,Rwanda,Rwanda,country
155,,0:32:50,2:33:00,Rwanda,Rwanda,country
156,,0:33:20,2:33:30,"Kigali, Rwanda",Kigali; Rwanda,city / area
157,,0:33:38,2:33:48,Africa,Africa,continent
158,,0:34:40,2:34:50,Rwanda,Rwanda,country
159,,0:35:27,2:35:37,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local
160,,0:35:30,2:35:40,"Chez Lando Hotel, Kigali, Rwanda",Chez Lando Hotel; Kigali; Rwanda,very local
161,,0:35:38,2:35:48,"Montreal, Canada",Montreal; Canada,city / area
162,,0:35:40,2:35:50,"Sainte Catherine Street, Montreal, Canada",Sainte Catherine Street; Montreal; Canada,local
163,,0:35:42,2:35:52,"Saint Catherine Street, Montreal, Canada",Saint Catherine Street; Montreal; Canada,local
164,,0:35:44,2:35:54,"Hochelaga-Maisonneuve, Montreal, Canada",Hochelaga-Maisonneuve; Montreal; Canada,local
165,,0:35:46,2:35:56,"Saint Michel, Montreal, Canada",Saint Michel; Montreal; Canada,local
166,,0:38:26,2:38:36,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local
167,,0:39:50,2:40:00,Rwanda,Rwanda,country
168,,0:00:36,2:40:38,Africa,Africa,continent
169,,0:00:46,2:40:48,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local
170,,0:01:01,2:41:03,Africa,Africa,continent
171,,0:02:34,2:42:36,Rwanda,Rwanda,country
172,,0:03:01,2:43:03,Rwanda,Rwanda,country
173,,0:03:04,2:43:06,Rwanda,Rwanda,country
174,,0:04:37,2:44:39,"Montreal, Canada",Montreal; Canada,city / area
175,,0:05:09,2:45:11,Rwanda,Rwanda,country
176,,0:05:20,2:45:22,"Remera, Kigali, Rwanda",Remera; Kigali; Rwanda,local
177,,0:05:30,2:45:32,Rwanda,Rwanda,country
178,,0:06:00,2:46:02,Rwanda,Rwanda,country
179,,0:07:00,2:47:02,"Montreal, Canada",Montreal; Canada,city / area
