id,Session #,Story units #,time_clip_start,time_clip_end,Time start (h:mm:ss),Time end (h:mm:ss),Atlascine-location,location,Scale,Journey
56,1,56,,,1:07:30,1:07:45,Canada,Canada,country,
57,1,57,,,1:07:45,1:08:40,"Montreal, Canada",Montreal; Quebec,city / area,
58,1,58,,,1:08:40,1:09:00,"Montreal, Canada",Montreal; Quebec,city / area,
59,1,59,,,1:09:00,1:12:40,"Ottawa, Canada",Ottawa; Ontario,city / area,
60,1,60,,,1:12:40,1:12:45,_end,none,,
61,1,61,,,1:12:45,1:18:35,"Ottawa, Canada",Ottawa; Ontario,city / area,
62,1,62,,,1:18:35,1:18:50,Canada,Canada,country,
63,1,63,,,1:18:50,1:22:15,"Montreal, Canada",Montreal; Quebec,city / area,
64,1,64,,,1:22:15,1:22:25,_end,none,,
65,1,65,,,1:22:25,1:25:30,"Montreal, Canada",Montreal; Quebec,city / area,
66,1,66,,,1:25:30,1:26:10,_end,none,,
67,1,67,,,1:26:10,1:29:45,"Quebec, Canada",Quebec,region,
68,1,68,,,1:29:45,1:30:15,Rwanda,Rwanda,country,
69,1,69,,,1:30:15,1:30:55,Rwanda,Rwanda,country,
70,1,70,,,1:30:55,1:33:30,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area,
71,1,71,,,1:33:30,1:35:45,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area,
72,1,72,,,1:35:45,1:37:00,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area,
73,1,73,,,1:37:00,1:42:00,"Karama, Rwanda",Karama; Rwanda,local,
74,1,74,,,1:42:00,1:43:30,"Cyanika, Rwanda",Cyanika; Rwanda,local,
75,1,75,,,1:43:30,1:46:10,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,
76,1,76,,,1:46:10,1:48:50,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area,
77,1,77,,,1:48:50,1:50:00,Rwanda,Rwanda,country,
78,1,78,,,1:50:00,1:50:10,_end,none,,
79,1,79,,,1:50:10,1:51:00,_end,none,,
80,1,80,,,1:51:00,1:51:50,"Montreal, Canada",Montreal; Quebec,city / area,
81,1,81,,,1:51:50,1:52:30,Belgium,Belgium,country,
82,1,82,,,1:52:30,1:54:50,_end,none,,
83,1,83,,,1:54:50,1:56:30,"Montreal, Canada",Montreal; Quebec,city / area,
84,1,84,,,1:56:30,1:56:45,Rwanda,Rwanda,country,
85,1,85,,,1:56:45,1:58:30,Rwanda,Rwanda,country,
86,1,86,,,1:58:30,2:00:30,"Montreal, Canada",Montreal; Quebec,city / area,
87,1,87,,,2:00:30,2:02:30,"Montreal, Canada",Montreal; Quebec,city / area,
88,1,88,,,2:02:30,2:02:40,_end,none,,
89,1,89,,,2:02:40,2:04:30,"Montreal, Canada",Montreal; Quebec,city / area,
90,1,90,,,2:04:30,2:06:00,Canada; Rwanda,Rwanda,country,journey 3
91,1,91,,,2:06:00,2:06:10,"Butare, Rwanda",Butare; Rwanda,city / area,
92,1,92,,,2:06:10,2:07:00,"Kigali Memorial, Rwanda",Kigali Memorial; Rwanda,very local,
93,1,93,,,2:07:00,2:08:00,Rwanda,Gikongoro; Rwanda,country,
94,1,94,,,2:08:00,2:10:30,"Kibeho, Rwanda",Kibeho; Rwanda,local,
95,1,95,,,2:10:30,2:17:25,"Karama, Rwanda",Karama; Rwanda,local,
96,1,96,,,2:17:25,2:19:45,Rwanda,Rwanda,country,
97,1,97,,,2:19:45,2:19:50,Rwanda,Rwanda,country,
98,1,98,,,2:19:50,2:22:20,Rwanda,Rwanda,country,
99,1,99,,,2:22:20,2:22:50,Rwanda,Rwanda,country,
100,1,100,,,2:22:50,2:24:25,Rwanda,Rwanda,country,
101,1,101,,,2:24:25,2:24:40,"Kigali, Rwanda",Kigali; Rwanda,city / area,
102,1,102,,,2:24:40,2:25:50,"Butare, Rwanda",Butare; Rwanda,city / area,
103,1,103,,,2:25:50,2:26:05,Rwanda,Rwanda,country,
104,1,104,,,2:26:05,2:26:15,Rwanda,Rwanda,country,
105,1,105,,,2:26:15,2:29:55,Rwanda,Rwanda,country,
106,1,106,,,2:29:55,2:30:05,_end,none,,
107,1,107,,,2:30:05,2:33:40,Rwanda,Rwanda,country,
108,1,108,,,2:33:40,2:34:10,_end,none,,
109,1,109,,,2:34:10,2:35:50,_end,none,,
110,1,110,,,2:35:50,2:37:20,Rwanda,Rwanda,country,
111,1,111,,,2:37:20,2:40:10,Rwanda,Rwanda,country,
112,1,112,,,2:40:10,2:40:40,_end,none,,
113,1,113,,,2:40:40,2:43:00,_end,none,,
114,1,114,,,2:43:00,2:48:15,Rwanda,Rwanda,country,
115,1,115,,,2:48:15,2:48:50,_end,none,,
116,1,116,,,2:48:50,2:52:25,_end,none,,
117,1,117,,,2:52:25,2:52:45,_end,none,,
