id,Session #,Story unit #,time_clip_start,time_clip_end,Clip Time start (h:mm:ss),Clip Time end (h:mm:ss),Atlascine-location,Location,Scale,Journey
72,1,68,,,1:27:23,1:27:51,_end,none,,
73,1,69,,,1:27:51,1:29:07,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Canada,local,
74,1,70,,,1:29:07,1:31:30,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Canada,local,
75,1,71,,,1:31:30,1:33:25,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Canada,local,
76,1,72,,,1:33:25,1:33:50,"NYC, USA",New York; NY,city / area,
77,1,73,,,1:33:50,1:35:00,_end,unknown,,
78,1,74,,,1:35:00,1:36:16,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Canada,local,
79,1,75,,,1:36:16,1:37:05,"Rivière-des-Prairies, Montreal, Canada; Montreal-Nord, Montreal, Canada; Saint-Leonard, Montreal, Canada; Riviere-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal-Nord; Saint-Leonard; Riviere-des-Prairies,local,journey 1
80,1,76,,,1:37:05,1:40:27,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Canada,local,
81,1,77,,,1:40:27,1:40:47,"École secondaire Jean-Grou, Montreal, Canada",École secondaire Jean-Grou; Montreal; Canada,very local,
82,1,78,,,1:40:47,1:44:00,"Rivière-des-Prairies, Montreal, Canada",Montréal Nord;  Rivière-des-Prairies,local,
83,,,,,1:40:47,1:44:00,"Montréal-Nord, Montreal, Canada",,local,
84,1,79,,,1:44:00,1:45:21,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre Jeunesse de Laval: Centre Cartier; Laval; Canada,very local,
85,1,80,,,1:45:21,1:48:04,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre Jeunesse de Laval: Centre Cartier; Laval; Canada,very local,
86,1,81,,,1:48:04,1:49:02,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Canada,local,
87,1,82,,,1:49:02,1:49:27,"Cité des Prairies, Montreal, Canada",Cité des Prairies; Montreal; Canada,very local,
88,1,83,,,1:49:27,1:50:40,"Cité des Prairies, Montreal, Canada",Cité des Prairies; Montreal; Canada,very local,
89,1,84,,,1:50:40,1:51:21,"Centre Saint-Croix, Montreal, Canada",Centre Saint-Croix; Montreal; Canada,very local,
90,1,85,,,1:51:21,1:51:27,"Montreal, Canada",Montreal; Canada,city / area,
91,1,86,,,1:51:27,1:52:31,"CEGEP Marie-Victorin, Montreal, Canada",CEGEP Marie-Victorin; Montreal; Canada,very local,
92,1,87,,,1:52:31,1:53:30,"Saint-Michel, Montreal, Canada",Saint-Michel; Montreal; Canada,local,
93,1,88,,,1:53:30,1:53:58,"Montreal, Canada",Montreal; Canada,city / area,
94,1,89,,,1:53:58,1:54:18,"l'hopital Rivière-des-Prairies, Montreal, Canada",l'hopital Rivière-des-Prairies; Montreal; Canada,very local,
95,1,90,,,1:54:18,1:56:40,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Canada,local,
96,1,91,,,1:56:40,1:57:11,"McGill University, Montreal, Canada ",McGill University; Montreal; Canada,very local,
97,1,92,,,1:57:11,1:58:35,"Montreal, Canada",Montreal; Canada,city / area,
98,1,93,,,1:58:35,1:59:59,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Canada; Rivière-des-Prairies; Montreal Canada,local,
99,,,,,1:58:35,1:59:59,"Rivière-des-Prairies, Montreal, Canada",,local,
100,1,94,,,1:59:59,2:00:02,"Montreal, Canada",Montreal; Canada,city / area,
101,1,95,,,2:00:02,2:00:05,"Saint-Michel, Montreal, Canada",Saint-Michel; Montreal; Canada,local,
102,1,96,,,2:00:05,2:02:30,"Montreal, Canada",Montreal; Canada,city / area,
103,1,97,,,2:02:30,2:02:45,"Montreal, Canada",Montreal; Canada,city / area,
104,1,98,,,2:02:45,2:04:20,"CEGEP Marie-Victorin, Montreal, Canada",CEGEP Marie-Victorin; Montreal; Canada,very local,
105,1,99,,,2:04:20,2:05:08,"McGill University, Montreal, Canada ",McGill University; Université de Montreal,very local,
106,,,,,2:04:20,2:05:08,"Université de Montréal, Montreal, Canada",,very local,
107,1,100,,,2:05:08,2:06:03,"Montreal, Canada",Montreal; Canada,city / area,
108,1,101,,,2:06:03,2:07:26,"Université de Montréal, Montreal, Canada",Université de Montreal; Montreal; Canada,very local,
109,1,102,,,2:07:26,2:07:45,"École Marie-Rivier, Montreal, Canada",École Marie-Rivier; Montreal; Canada,very local,
110,1,103,,,2:07:45,2:08:26,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Canada,local,
111,1,104,,,2:08:26,2:09:22,"École Marie-Rivier, Montreal, Canada",École Marie-Rivier; Montreal; Canada,very local,
112,1,105,,,2:09:22,2:11:35,"École Marie-Rivier, Montreal, Canada",École Marie-Rivier; Montreal; Canada,very local,
113,1,106,,,2:11:35,2:16:03,"Montreal, Canada",Montreal; Canada,city / area,
114,1,107,,,2:16:03,2:16:30,"McGill University, Montreal, Canada ",McGill University; Université de Montreal,very local,
115,,,,,2:16:03,2:16:30,"Université de Montréal, Montreal, Canada",,very local,
116,1,108,,,2:16:30,2:16:33,"McGill University, Montreal, Canada ",McGill University; Université de Montreal,very local,
117,,,,,2:16:30,2:16:33,"Université de Montréal, Montreal, Canada",,very local,
118,1,109,,,2:16:33,2:17:05,"McGill University, Montreal, Canada ",McGill University; Université de Montreal,very local,
119,,,,,2:16:33,2:17:05,"Université de Montréal, Montreal, Canada",,very local,
120,1,110,,,2:17:05,2:17:27,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; MTL; Montreal-Nord; MTL,local,
121,,,,,2:17:05,2:17:27,"Montréal-Nord, Montreal, Canada",,local,
122,1,111,,,2:17:27,2:18:27,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; MTL; Montreal-Nord; MTL,local,
123,,,,,2:17:27,2:18:27,"Montréal-Nord, Montreal, Canada",,local,
124,1,112,,,2:18:27,2:19:05,_end,none,,
125,1,113,,,2:19:05,2:19:17,_end,unknown,,
126,1,114,,,2:19:17,2:19:35,"Miami, USA",Miami; US; Haiti,city / area,
127,,,,,2:19:17,2:19:35,Haiti,,country,
128,1,115,,,2:19:35,2:20:40,North America,North America,continent,
129,1,116,,,2:20:40,2:20:54,"Miami, USA",Miami; US; Haiti; Montreal; Canada,city / area,
130,,,,,2:20:40,2:20:54,Haiti,,country,
131,,,,,2:20:40,2:20:54,"Montreal, Canada",,city / area,
132,1,117,,,2:20:54,2:21:00,Haiti,Haiti,country,
133,1,118,,,2:21:00,2:22:05,Haiti,Haiti,country,
134,1,119,,,2:22:05,2:22:24,Haiti,Haiti,country,
135,1,120,,,2:22:24,2:27:08,Haiti,Haiti,country,
136,1,121,,,2:27:08,2:27:15,"Montreal, Canada",Montreal; Canada,city / area,
137,1,122,,,2:27:15,2:33:00,"Montreal, Canada",Montreal; Canada,city / area,
138,1,123,,,2:33:00,2:33:13,Haiti,Haiti,country,
139,1,124,,,2:33:13,2:34:40,Haiti,Haiti,country,
140,1,125,,,2:34:40,2:37:28,"Montreal, Canada",Haiti; Montreal,city / area,
141,,,,,2:34:40,2:37:28,Haiti,,country,
142,1,126,,,2:37:28,2:37:53,Haiti,Haiti; Montreal,country,
143,,,,,2:37:28,2:37:53,"Montreal, Canada",,city / area,
144,1,127,,,2:37:53,2:42:07,Haiti,Haiti; Quebec; Canada,country,
145,,,,,2:37:53,2:42:07,"Quebec, Canada",,region,
146,1,128,,,2:42:07,2:42:38,Haiti,Haiti,country,
147,1,129,,,2:42:38,3:03:02,Haiti,Haiti,country,
148,1,130,,,3:03:02,3:06:00,Japan,Japan; Haiti,country,
149,,,,,3:03:02,3:06:00,Haiti,,country,
150,1,131,,,3:06:00,3:06:51,Haiti,Haiti,country,
151,1,132,,,3:06:51,3:07:55,Haiti,Haiti,country,
152,1,133,,,3:07:55,3:09:05,Haiti,Haiti,country,
153,1,134,,,3:09:05,3:09:09,_end,none,,
154,1,135,,,3:09:09,3:09:20,_end,none,,
155,1,136,,,3:09:20,3:09:24,_end,none,,
156,1,137,,,3:09:24,3:10:10,_end,none,,
157,1,138,,,3:10:10,3:11:35,_end,none,,
